# Time   PotentialEnergy   KineticEnergy   TotalEnergy
1.35	-129.919	87.6951	-42.2236
1.36	-130.881	88.9991	-41.882
1.37	-131.843	90.3128	-41.5307
1.38	-132.806	91.636	-41.1698
1.39	-133.768	92.9689	-40.7993
1.4	-134.731	94.3114	-40.4192
1.41	-135.693	95.6635	-40.0294
1.42	-136.655	97.0252	-39.63
1.43	-137.618	98.3966	-39.221
1.44	-138.58	99.7776	-38.8024
1.45	-139.542	101.168	-38.3741
1.46	-140.505	102.568	-37.9363
1.47	-141.467	103.978	-37.4888
1.48	-142.429	105.398	-37.0317
1.49	-143.392	106.827	-36.5649
1.5	-144.354	108.266	-36.0885
1.51	-145.317	109.714	-35.6025
1.52	-146.279	111.172	-35.1069
1.53	-147.241	112.64	-34.6017
1.54	-148.204	114.117	-34.0868
1.55	-149.166	115.604	-33.5623
1.56	-150.128	117.1	-33.0282
1.57	-151.091	118.606	-32.4845
1.58	-152.053	120.122	-31.9311
1.59	-153.015	121.647	-31.3682
1.6	-153.978	123.182	-30.7956
1.61	-154.94	124.727	-30.2133
1.62	-155.902	126.281	-29.6215
1.63	-156.865	127.845	-29.02
1.64	-157.827	129.418	-28.4089
1.65	-158.79	131.001	-27.7882
1.66	-159.752	132.594	-27.1578
1.67	-160.714	134.196	-26.5179
1.68	-161.677	135.808	-25.8683
1.69	-162.639	137.43	-25.209
1.7	-163.601	139.061	-24.5402
1.71	-164.564	140.702	-23.8617
1.72	-165.526	142.352	-23.1737
1.73	-166.488	144.013	-22.4759
1.74	-167.451	145.682	-21.7686
1.75	-168.413	147.362	-21.0516
1.76	-169.376	149.05	-20.3251
1.77	-170.338	150.749	-19.5889
1.78	-171.3	152.457	-18.843
1.79	-172.263	154.175	-18.0876
1.8	-173.225	155.902	-17.3225
1.81	-174.187	157.64	-16.5478
1.82	-175.15	159.386	-15.7635
1.83	-176.112	161.143	-14.9695
1.84	-177.074	162.908	-14.166
1.85	-178.037	164.684	-13.3528
1.86	-178.999	166.469	-12.5299
1.87	-179.962	168.264	-11.6975
1.88	-180.924	170.068	-10.8554
1.89	-181.886	171.882	-10.0037
1.9	-182.849	173.706	-9.14243
1.91	-183.811	175.539	-8.27149
1.92	-184.773	177.382	-7.39093
1.93	-185.736	179.235	-6.50075
1.94	-186.698	181.097	-5.60094
1.95	-187.66	182.969	-4.69151
1.96	-188.623	184.85	-3.77246
1.97	-189.585	186.741	-2.84378
1.98	-190.547	188.642	-1.90547
1.99	-191.51	190.552	-0.957549
2	-192.472	192.472	-1.7053e-13
2.01	-193.435	194.402	0.967173
2.02	-194.397	196.341	1.94397
2.03	-195.359	198.29	2.93039
2.04	-196.322	200.248	3.92643
2.05	-197.284	202.216	4.9321
2.06	-198.246	204.194	5.94739
2.07	-199.209	206.181	6.97231
2.08	-200.171	208.178	8.00684
2.09	-201.133	210.184	9.05101
2.1	-202.096	212.201	10.1048
2.11	-203.058	214.226	11.1682
2.12	-204.021	216.262	12.2412
2.13	-204.983	218.307	13.3239
2.14	-205.945	220.361	14.4162
2.15	-206.908	222.426	15.5181
2.16	-207.87	224.5	16.6296
2.17	-208.832	226.583	17.7507
2.18	-209.795	228.676	18.8815
2.19	-210.757	230.779	20.0219
2.2	-211.719	232.891	21.1719
2.21	-212.682	235.013	22.3316
2.22	-213.644	237.145	23.5009
2.23	-214.607	239.286	24.6797
2.24	-215.569	241.437	25.8683
2.25	-216.531	243.598	27.0664
2.26	-217.494	245.768	28.2742
2.27	-218.456	247.947	29.4916
2.28	-219.418	250.137	30.7186
2.29	-220.381	252.336	31.9552
2.3	-221.343	254.544	33.2015
2.31	-222.305	256.763	34.4573
2.32	-223.268	258.991	35.7228
2.33	-224.23	261.228	36.998
2.34	-225.192	263.475	38.2827
2.35	-226.155	265.732	39.5771
2.36	-227.117	267.998	40.8811
2.37	-228.08	270.274	42.1947
2.38	-229.042	272.56	43.518
2.39	-230.004	274.855	44.8508
